NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Somerset, KY Micro Area",43700,52789,1477,2.7979313872208222
"Somerset, PA Micro Area",43740,61388,1824,2.971264742294911
"Sonora, CA Micro Area",43760,46375,1818,3.9202156334231804
"South Bend-Mishawaka, IN-MI Metro Area",43780,258607,8023,3.102390886557595
"Sparta, WI Micro Area",43890,35864,625,1.7426946241356236
"Spartanburg, SC Metro Area",43900,290506,8069,2.7775674168519755
"Spearfish, SD Micro Area",43940,22821,334,1.4635642609876869
"Spencer, IA Micro Area",43980,13044,340,2.6065624041705
"Spirit Lake, IA Micro Area",44020,14858,231,1.5547179970386324
"Spokane-Spokane Valley, WA Metro Area",44060,477465,16352,3.4247536468641684
"Springfield, IL Metro Area",44100,167147,5527,3.3066701765511795
"Springfield, MA Metro Area",44140,377389,13781,3.651669762499702
"Springfield, MO Metro Area",44180,385510,8536,2.2142097481258594
"Springfield, OH Metro Area",44220,108462,4173,3.847430436466228
"Starkville, MS Micro Area",44260,51290,1807,3.5231039188925712
"State College, PA Metro Area",44300,137415,3068,2.2326529127096753
"Statesboro, GA Micro Area",44340,75084,3432,4.570880613712642
"Staunton-Stuarts Draft, VA Metro Area",44420,104328,2270,2.175830074380799
