NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Greenville, NC Metro Area",24780,33.6,58851,971,172279
"Greenville, OH Micro Area",24820,42.0,64654,747,51655
"Greenville-Anderson-Greer, SC Metro Area",24860,38.8,69016,1100,945301
"Greenwood, MS Micro Area",24900,37.3,37718,685,37260
"Greenwood, SC Micro Area",24940,40.5,51044,860,93681
"Grenada, MS Micro Area",24980,39.7,46918,809,31050
"Guayama, PR Metro Area",25020,43.2,20430,463,67171
"Gulfport-Biloxi, MS Metro Area",25060,39.5,61266,1067,418452
"Guymon, OK Micro Area",25100,33.4,59275,939,20880
"Hagerstown-Martinsburg, MD-WV Metro Area",25180,40.4,75473,1130,298525
"Hailey, ID Micro Area",25200,43.7,81389,1166,31010
"Hammond, LA Metro Area",25220,35.7,57256,974,135218
"Hanford-Corcoran, CA Metro Area",25260,32.3,68750,1228,152830
"Hannibal, MO Micro Area",25300,40.9,63425,802,38887
"Harrisburg-Carlisle, PA Metro Area",25420,40.1,79281,1151,597894
"Harrison, AR Micro Area",25460,42.7,53775,704,45071
"Harrisonburg, VA Metro Area",25500,34.8,72145,1122,136231
"Hartford-West Hartford-East Hartford, CT Metro Area",25540,41.0,92823,1357,1144012
"Hastings, NE Micro Area",25580,39.4,67077,832,40503
"Hattiesburg, MS Metro Area",25620,35.3,59008,987,154567
"Hays, KS Micro Area",25700,32.5,59889,899,28870
"Heber, UT Micro Area",25720,38.6,125583,1941,78517
"Helena, MT Metro Area",25740,42.4,74040,1049,92391
"Hemlock Farms, PA Micro Area",25770,49.4,79318,1383,59691
"Henderson, KY Micro Area",25775,40.8,58404,791,57366
"Henderson, NC Micro Area",25780,39.9,46943,860,42361
"Hereford, TX Micro Area",25820,31.4,54114,919,18487
"Hermiston-Pendleton, OR Micro Area",25840,36.6,69037,958,92336
"Hermitage, PA Micro Area",25850,45.2,60614,808,109852
"Hickory-Lenoir-Morganton, NC Metro Area",25860,43.4,60255,823,366972
"Hillsdale, MI Micro Area",25880,42.8,60869,801,45658
"Hilo-Kailua, HI Micro Area",25900,44.1,77215,1411,203684
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",25940,46.8,81015,1448,222781
"Hinesville, GA Metro Area",25980,29.4,60329,1174,84338
"Hobbs, NM Micro Area",26020,32.5,68750,1119,73154
"Holland, MI Micro Area",26090,40.8,80255,1065,120913
"Homosassa Springs, FL Metro Area",26140,56.9,55355,1069,158693
"Hood River, OR Micro Area",26220,40.2,82095,1381,23958
"Hot Springs, AR Metro Area",26300,45.3,55409,942,100062
"Houghton, MI Micro Area",26340,33.7,56403,764,39534
"Houma-Bayou Cane-Thibodaux, LA Metro Area",26380,38.2,64269,983,204032
"Houston-Pasadena-The Woodlands, TX Metro Area",26420,35.3,80458,1378,7274714
"Hudson, NY Micro Area",26460,49.5,83619,1199,61245
"Huntingdon, PA Micro Area",26500,43.5,65429,795,43844
"Huntington, IN Micro Area",26540,40.8,62734,866,36757
"Huntington-Ashland, WV-KY-OH Metro Area",26580,41.8,58483,856,372801
"Huntsville, AL Metro Area",26620,38.8,83529,1091,504712
"Huntsville, TX Micro Area",26660,37.1,49862,986,78292
"Huron, SD Micro Area",26700,36.9,63082,834,19279
"Hutchinson, KS Micro Area",26740,40.7,60498,857,61693
"Hutchinson, MN Micro Area",26780,41.5,78468,906,36771
"Idaho Falls, ID Metro Area",26820,33.2,77300,1052,161944
"Indiana, PA Micro Area",26860,39.5,58739,786,83213
"Indianapolis-Carmel-Greenwood, IN Metro Area",26900,36.7,77065,1142,2106327
"Iowa City, IA Metro Area",26980,31.9,74142,1077,177420
"Iron Mountain, MI-WI Micro Area",27020,48.6,61960,752,30557
"Ithaca, NY Metro Area",27060,32.8,73012,1374,102879
"Jackson, MI Metro Area",27100,41.2,65004,958,160187
"Jackson, MS Metro Area",27140,38.1,60489,1034,615908
"Jackson, TN Metro Area",27180,38.9,58740,956,180844
"Jackson, WY-ID Micro Area",27220,40.0,106679,1577,35459
"Jacksonville, FL Metro Area",27260,39.1,77013,1416,1645707
"Jacksonville, IL Micro Area",27300,42.0,66168,704,37468
"Jacksonville, NC Metro Area",27340,27.1,64568,1198,208537
"Jacksonville, TX Micro Area",27380,38.2,59830,880,51143
"Jamestown, ND Micro Area",27420,40.6,60172,742,21525
"Jamestown-Dunkirk, NY Micro Area",27460,42.7,56507,797,126329
"Janesville-Beloit, WI Metro Area",27500,40.1,74390,1019,163944
"Jasper, IN Micro Area",27540,40.1,71918,801,43563
"Jefferson, GA Micro Area",27600,38.1,85012,1048,80640
"Jefferson City, MO Metro Area",27620,39.5,72425,804,150147
"Jesup, GA Micro Area",27700,38.9,49562,839,30519
"Johnson City, TN Metro Area",27740,42.1,56096,888,208934
"Johnstown, PA Metro Area",27780,45.7,56292,733,132355
"Jonesboro, AR Metro Area",27860,35.2,55478,907,134837
"Joplin, MO-KS Metro Area",27900,38.2,60146,872,202258
"Juneau, AK Micro Area",27940,39.8,100513,1462,31969
"Kahului-Wailuku, HI Metro Area",27980,42.9,95049,1863,164675
"Kalamazoo-Portage, MI Metro Area",28020,34.9,70525,1049,261437
"Kalispell, MT Micro Area",28060,42.1,71327,1094,108445
"Kankakee, IL Metro Area",28100,39.0,68325,1075,106833
"Kansas City, MO-KS Metro Area",28140,37.8,81927,1201,2202006
"Kapaa, HI Micro Area",28180,42.7,93612,1810,73610
"Kearney, NE Micro Area",28260,35.5,75141,901,57020
"Keene, NH Micro Area",28300,43.5,81001,1220,76945
"Kendallville, IN Micro Area",28340,39.5,70908,776,47417
"Kennett, MO Micro Area",28380,39.5,47368,632,27795
"Kennewick-Richland, WA Metro Area",28420,34.4,85881,1238,307900
"Kenosha, WI Metro Area",28450,39.2,79412,1175,168413
"Kerrville, TX Micro Area",28500,48.6,67927,1079,53166
