NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Fort Smith, AR-OK Metro Area",228916,56717,841,,22900,,,,,
"Fort Wayne, IN Metro Area",451440,69378,963,,23060,,,,,
"Frankfort, IN Micro Area",32967,63690,915,,23140,,,,,
"Frankfort, KY Micro Area",75661,68277,922,,23180,,,,,
"Franklin, KY Micro Area",19786,57392,1011,,23190,,,,,
"Fredericksburg, TX Micro Area",27202,67799,1331,,23240,,,,,
"Freeport, IL Micro Area",44042,61943,764,,23300,,,,,
"Fremont, NE Micro Area",37146,71294,985,,23340,,,,,
"Fremont, OH Micro Area",58770,62500,786,,23380,,,,,
"Fresno, CA Metro Area",1170942,71897,1301,,23420,,,,,
"Gadsden, AL Metro Area",103208,53070,807,,23460,,,,,
"Gaffney, SC Micro Area",56299,49047,813,,23500,,,,,
"Gainesville, FL Metro Area",344521,58946,1219,,23540,,,,,
"Gainesville, GA Metro Area",208395,77430,1247,,23580,,,,,
"Gainesville, TX Micro Area",42473,72472,1088,,23620,,,,,
"Galesburg, IL Micro Area",49294,53291,725,,23660,,,,,
"Gallipolis, OH Micro Area",29162,56455,798,,23680,,,,,
"Gallup, NM Micro Area",71172,44496,810,,23700,,,,,
"Garden City, KS Micro Area",38001,72437,991,,23780,,,,,
"Gardnerville Ranchos, NV-CA Micro Area",51319,88659,1544,,23820,,,,,
"Gettysburg, PA Metro Area",105183,81071,1084,,23900,,,,,
"Gillette, WY Micro Area",47018,95253,952,,23940,,,,,
"Glasgow, KY Micro Area",55042,49004,760,,23980,,,,,
"Glens Falls, NY Metro Area",126443,74953,1053,,24020,,,,,
"Gloversville, NY Micro Area",52787,62615,883,,24100,,,,,
"Goldsboro, NC Metro Area",117606,58082,932,,24140,,,,,
"Granbury, TX Micro Area",64198,86802,1414,,24180,,,,,
"Grand Forks, ND-MN Metro Area",103669,68653,947,,24220,,,,,
"Grand Island, NE Metro Area",76619,67397,896,,24260,,,,,
"Grand Junction, CO Metro Area",157316,71485,1154,,24300,,,,,
"Grand Rapids, MN Micro Area",45141,66380,944,,24330,,,,,
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",1154320,80296,1138,,24340,,,,,
"Grants Pass, OR Metro Area",88069,59097,1157,,24420,,,,,
"Great Bend, KS Micro Area",25275,56733,742,,24460,,,,,
"Great Falls, MT Metro Area",84601,66203,902,,24500,,,,,
"Greeley, CO Metro Area",340711,93287,1469,,24540,,,,,
"Green Bay, WI Metro Area",329375,77459,959,,24580,,,,,
"Greencastle, IN Micro Area",37091,76182,883,,24600,,,,,
"Greeneville, TN Micro Area",70919,54071,713,,24620,,,,,
"Greenfield, MA Micro Area",70922,72584,1169,,24640,,,,,
"Greensboro-High Point, NC Metro Area",779894,63083,1045,,24660,,,,,
"Greensburg, IN Micro Area",26411,74228,828,,24700,,,,,
"Greenville, MS Micro Area",43674,40117,786,,24740,,,,,
"Greenville, NC Metro Area",172279,58851,971,,24780,,,,,
"Greenville, OH Micro Area",51655,64654,747,,24820,,,,,
"Greenville-Anderson-Greer, SC Metro Area",945301,69016,1100,,24860,,,,,
"Greenwood, MS Micro Area",37260,37718,685,,24900,,,,,
"Greenwood, SC Micro Area",93681,51044,860,,24940,,,,,
"Grenada, MS Micro Area",31050,46918,809,,24980,,,,,
"Guayama, PR Metro Area",67171,20430,463,,25020,,,,,
"Gulfport-Biloxi, MS Metro Area",418452,61266,1067,,25060,,,,,
"Guymon, OK Micro Area",20880,59275,939,,25100,,,,,
"Hagerstown-Martinsburg, MD-WV Metro Area",298525,75473,1130,,25180,,,,,
"Hailey, ID Micro Area",31010,81389,1166,,25200,,,,,
"Hammond, LA Metro Area",135218,57256,974,,25220,,,,,
"Hanford-Corcoran, CA Metro Area",152830,68750,1228,,25260,,,,,
"Hannibal, MO Micro Area",38887,63425,802,,25300,,,,,
"Harrisburg-Carlisle, PA Metro Area",597894,79281,1151,,25420,,,,,
"Harrison, AR Micro Area",45071,53775,704,,25460,,,,,
"Harrisonburg, VA Metro Area",136231,72145,1122,,25500,,,,,
"Hartford-West Hartford-East Hartford, CT Metro Area",1144012,92823,1357,,25540,,,,,
"Hastings, NE Micro Area",40503,67077,832,,25580,,,,,
"Hattiesburg, MS Metro Area",154567,59008,987,,25620,,,,,
"Hays, KS Micro Area",28870,59889,899,,25700,,,,,
"Heber, UT Micro Area",78517,125583,1941,,25720,,,,,
"Helena, MT Metro Area",92391,74040,1049,,25740,,,,,
"Hemlock Farms, PA Micro Area",59691,79318,1383,,25770,,,,,
"Henderson, KY Micro Area",57366,58404,791,,25775,,,,,
"Henderson, NC Micro Area",42361,46943,860,,25780,,,,,
"Hereford, TX Micro Area",18487,54114,919,,25820,,,,,
"Hermiston-Pendleton, OR Micro Area",92336,69037,958,,25840,,,,,
"Hermitage, PA Micro Area",109852,60614,808,,25850,,,,,
"Hickory-Lenoir-Morganton, NC Metro Area",366972,60255,823,,25860,,,,,
"Hillsdale, MI Micro Area",45658,60869,801,,25880,,,,,
"Hilo-Kailua, HI Micro Area",203684,77215,1411,,25900,,,,,
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",222781,81015,1448,,25940,,,,,
"Hinesville, GA Metro Area",84338,60329,1174,,25980,,,,,
"Hobbs, NM Micro Area",73154,68750,1119,,26020,,,,,
"Holland, MI Micro Area",120913,80255,1065,,26090,,,,,
"Homosassa Springs, FL Metro Area",158693,55355,1069,,26140,,,,,
"Hood River, OR Micro Area",23958,82095,1381,,26220,,,,,
"Hot Springs, AR Metro Area",100062,55409,942,,26300,,,,,
"Houghton, MI Micro Area",39534,56403,764,,26340,,,,,
"Houma-Bayou Cane-Thibodaux, LA Metro Area",204032,64269,983,,26380,,,,,
"Houston-Pasadena-The Woodlands, TX Metro Area",7274714,80458,1378,,26420,,,,,
"Hudson, NY Micro Area",61245,83619,1199,,26460,,,,,
"Huntingdon, PA Micro Area",43844,65429,795,,26500,,,,,
"Huntington, IN Micro Area",36757,62734,866,,26540,,,,,
"Huntington-Ashland, WV-KY-OH Metro Area",372801,58483,856,,26580,,,,,
"Huntsville, AL Metro Area",504712,83529,1091,,26620,,,,,
"Huntsville, TX Micro Area",78292,49862,986,,26660,,,,,
"Huron, SD Micro Area",19279,63082,834,,26700,,,,,
"Hutchinson, KS Micro Area",61693,60498,857,,26740,,,,,
"Hutchinson, MN Micro Area",36771,78468,906,,26780,,,,,
"Idaho Falls, ID Metro Area",161944,77300,1052,,26820,,,,,
"Indiana, PA Micro Area",83213,58739,786,,26860,,,,,
"Indianapolis-Carmel-Greenwood, IN Metro Area",2106327,77065,1142,,26900,,,,,
"Iowa City, IA Metro Area",177420,74142,1077,,26980,,,,,
"Iron Mountain, MI-WI Micro Area",30557,61960,752,,27020,,,,,
"Ithaca, NY Metro Area",102879,73012,1374,,27060,,,,,
